genes,model_results_hr,model_results_hr_lci,model_results_hr_uci
14386,ZMYND15,2.344309e-09,1.422974e-09,3.862181e-09
11575,SIDT2,6.476068e-02,8.778883e-03,4.777311e-01
11359,SEPP1,6.575403e-02,9.066876e-03,4.768558e-01
10335,RAB20,6.686077e-02,9.111157e-03,4.906471e-01
13196,TNFSF8,6.832182e-02,8.852104e-03,5.273178e-01
2498,CD84,7.159383e-02,9.307721e-03,5.506907e-01
11770,SLC31A2,7.222285e-02,9.595212e-03,5.436191e-01
11480,SFTPB,7.390457e-02,9.938996e-03,5.495409e-01
10561,RBP1,7.462196e-02,1.066442e-02,5.221509e-01
13139,TMOD2,8.213898e-02,1.110349e-02,6.076298e-01
2556,CDH23,8.358884e-02,1.091327e-02,6.402386e-01
8703,NPL,1.291683e-01,2.881911e-02,5.789370e-01
5411,GPD1L,1.358754e-01,3.160807e-02,5.840950e-01
2426,CD101,1.364176e-01,3.160867e-02,5.887548e-01
9120,PARVG,1.396500e-01,3.190580e-02,6.112405e-01
8235,MYL6,1.409021e-01,3.188915e-02,6.225757e-01
3788,DNASE1L3,1.418930e-01,3.352488e-02,6.005577e-01
1185,BEX4,1.435865e-01,3.451978e-02,5.972546e-01
3342,CXCR2,1.456225e-01,3.461118e-02,6.126900e-01
8315,NAIP,1.458336e-01,3.303597e-02,6.437660e-01
3210,CSF2RB,1.489314e-01,3.373588e-02,6.574769e-01
10718,RIC3,1.502641e-01,3.452323e-02,6.540317e-01
5149,GBGT1,1.505979e-01,3.548957e-02,6.390534e-01
1700,C1orf38,1.515318e-01,3.540172e-02,6.486095e-01
9734,PNRC2,1.517256e-01,3.397464e-02,6.775833e-01
4909,FMNL3,1.529668e-01,3.475823e-02,6.731887e-01
10488,RASGRP2,1.534738e-01,3.502990e-02,6.724031e-01
2902,CLPTM1L,1.550302e-01,3.506299e-02,6.854626e-01
974,ATP6V0E1,1.552586e-01,3.646870e-02,6.609841e-01
13974,WAPAL,1.556264e-01,3.896582e-02,6.215597e-01
6486,KBTBD8,1.558903e-01,3.565289e-02,6.816218e-01
3718,DMD,1.559265e-01,3.597368e-02,6.758574e-01
4758,FCGRT,1.567027e-01,3.867579e-02,6.349122e-01
4582,FAM49A,1.568317e-01,3.674181e-02,6.694329e-01
2496,CD82,1.582736e-01,3.796659e-02,6.598048e-01
4383,F13A1,1.593699e-01,3.869524e-02,6.563793e-01
11762,SLC2A9,1.594799e-01,3.788363e-02,6.713679e-01
6463,KAL1,1.595149e-01,3.664896e-02,6.942896e-01
7984,MR1,1.604342e-01,3.763342e-02,6.839437e-01
3143,CR1,1.610167e-01,3.523313e-02,7.358523e-01
2704,CFP,1.618983e-01,3.746510e-02,6.996123e-01
12516,SYS1,1.624371e-01,3.799383e-02,6.944759e-01
2441,CD200R1,1.627580e-01,3.795164e-02,6.979978e-01
9947,PPT1,1.632566e-01,3.785765e-02,7.040245e-01
1404,C11orf92,1.632845e-01,3.591696e-02,7.423189e-01
9513,PIK3R5,1.637776e-01,3.855740e-02,6.956668e-01
8078,MS4A15,1.645065e-01,4.007092e-02,6.753626e-01
2412,CCR6,1.647695e-01,3.625990e-02,7.487328e-01
5229,GIMAP2,1.672583e-01,3.853710e-02,7.259326e-01
12071,SNX2,1.680665e-01,3.932783e-02,7.182277e-01
12485,SV2B,1.684696e-01,3.964219e-02,7.159544e-01
6405,ITM2A,1.697645e-01,3.886625e-02,7.415168e-01
1345,C10orf128,1.711236e-01,3.964262e-02,7.386821e-01
11562,SHOC2,1.711678e-01,4.125180e-02,7.102340e-01
2438,CD1C,1.729536e-01,3.680808e-02,8.126731e-01
6034,HSPB6,1.737680e-01,4.100782e-02,7.363307e-01
8970,OSM,1.801492e-01,4.236626e-02,7.660280e-01
5037,FXYD6,1.816045e-01,4.501472e-02,7.326536e-01
151,ACSF2,1.866427e-01,4.280921e-02,8.137385e-01
9118,PARVA,1.894766e-01,4.638013e-02,7.740679e-01
9031,PACSIN1,2.056089e-01,5.887174e-02,7.180866e-01
10288,PXMP4,2.088433e-01,4.623222e-02,9.434010e-01
11463,SFRS2IP,2.100785e-01,6.419851e-02,6.874454e-01
9985,PREX1,2.104972e-01,6.130812e-02,7.227279e-01
9613,PLCL1,2.122500e-01,5.977575e-02,7.536511e-01
5856,HLA-DRB5,2.139697e-01,6.267135e-02,7.305257e-01
2200,CASZ1,2.156432e-01,6.490845e-02,7.164245e-01
9628,PLEKHA2,2.174547e-01,6.249339e-02,7.566647e-01
1900,C5orf42,2.182334e-01,6.928440e-02,6.873960e-01
4089,EIF2C4,2.183269e-01,6.495910e-02,7.337947e-01
2875,CLEC7A,2.188211e-01,6.443686e-02,7.430944e-01
4796,FGD2,2.201011e-01,6.436598e-02,7.526415e-01
38,ABCB1,2.214973e-01,6.597422e-02,7.436397e-01
8252,MYO1F,2.217579e-01,6.440561e-02,7.635450e-01
9507,PIK3CG,2.219973e-01,6.500152e-02,7.581790e-01
2865,CLEC12A,2.226604e-01,6.377917e-02,7.773330e-01
3396,CYP2B7P1,2.229069e-01,6.576036e-02,7.555844e-01
1317,BTK,2.246154e-01,6.577821e-02,7.670029e-01
2811,CIITA,2.250181e-01,6.569476e-02,7.707335e-01
3332,CXCL16,2.251607e-01,7.040861e-02,7.200444e-01
8528,NFATC2,2.259681e-01,6.852912e-02,7.451076e-01
2872,CLEC4A,2.263671e-01,6.756708e-02,7.583880e-01
12324,STAB1,2.263744e-01,6.763514e-02,7.576738e-01
7784,MFSD1,2.266942e-01,6.800382e-02,7.556969e-01
7986,MRAS,2.270772e-01,6.788012e-02,7.596344e-01
6233,IL7R,2.273086e-01,6.677372e-02,7.737952e-01
6182,IL10RA,2.273524e-01,6.621144e-02,7.806673e-01
10286,PXK,2.278689e-01,6.769310e-02,7.670534e-01
3374,CYBB,2.281747e-01,6.634927e-02,7.846916e-01
9266,PDE5A,2.291490e-01,6.875903e-02,7.636706e-01
11089,RXRA,2.293102e-01,6.458900e-02,8.141195e-01
2718,CHAD,2.295785e-01,6.777571e-02,7.776571e-01
978,ATP6V1B2,2.296484e-01,6.831334e-02,7.720074e-01
972,ATP6V0D1,2.297141e-01,6.876305e-02,7.673972e-01
4259,ERAP1,2.297497e-01,6.796951e-02,7.765970e-01
12895,TLR7,2.299754e-01,6.846820e-02,7.724561e-01
2409,CCR2,2.300140e-01,6.849476e-02,7.724158e-01
