Patient,Expression
TCGA-55-8514,281.29
TCGA-O1-A52J,344.5
TCGA-62-8399,346.44
TCGA-44-5644,359.77
TCGA-55-A490,363.11
TCGA-55-7910,374.07
TCGA-NJ-A7XG,378.25
TCGA-62-8397,388.32
TCGA-55-8207,395.57
TCGA-L9-A7SV,400.23
TCGA-67-3773,410.07
TCGA-44-7667,413.84
TCGA-55-8616,414.92
TCGA-J2-A4AD,415.35
TCGA-44-7659,420.78
TCGA-55-8302,424.75
TCGA-49-4512,452.73
TCGA-67-4679,455.6
TCGA-55-A492,459.56
TCGA-97-A4M0,461.22
TCGA-55-7576,466.54
TCGA-97-8171,472.12
TCGA-69-7979,472.31
TCGA-73-4675,476.46
TCGA-78-7152,479.11
TCGA-50-5930,479.43
TCGA-86-7713,488.19
TCGA-91-A4BD,488.31
TCGA-55-7573,488.39
TCGA-78-7536,489.29
TCGA-97-8179,489.72
TCGA-86-A456,490.91
TCGA-62-A46V,492.31
TCGA-44-6148,492.84
TCGA-91-8497,493.79
TCGA-95-A4VP,501.11
TCGA-L4-A4E5,502.39
TCGA-49-6743,502.98
TCGA-78-7633,504.99
TCGA-50-5944,507.39
TCGA-67-6217,508.3
TCGA-69-7763,508.94
TCGA-78-7539,511.34
TCGA-78-7158,517.01
TCGA-05-4382,518.81
TCGA-86-8669,519.22
TCGA-91-6829,519.36
TCGA-73-7498,519.76
TCGA-55-7994,523.67
TCGA-99-AA5R,523.89
TCGA-78-7153,524.41
TCGA-93-A4JO,527.72
TCGA-50-8457,532.18
TCGA-L9-A443,532.92
TCGA-97-A4M1,533.04
TCGA-44-7662,533.93
TCGA-55-8506,534.91
TCGA-69-7764,535.15
TCGA-86-8668,542.41
TCGA-55-5899,545.79
TCGA-50-5936,546.05
TCGA-05-4425,546.17
TCGA-67-3771,546.58
TCGA-J2-A4AE,549.65
TCGA-95-8494,552.58
TCGA-86-A4P8,554.24
TCGA-97-7938,556.5
TCGA-62-A46O,557.97
TCGA-97-7941,561.21
TCGA-05-4426,569.1
TCGA-55-8621,569.44
TCGA-NJ-A4YI,570.66
TCGA-L4-A4E6,578.44
TCGA-50-6593,579.22
TCGA-44-5645,582.33
TCGA-95-7567,582.84
TCGA-97-8552,582.93
TCGA-55-7570,583.88
